City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,punta arenas,-53.15,-70.9167,280.21,57,75,10.29,CL,1701478855
83,st. john's,47.5649,-52.7093,277.97,93,75,8.75,CA,1701479019
84,miri,4.4148,114.0089,300.63,82,93,3.35,MY,1701479414
85,port townsend,48.117,-122.7605,281.2,83,100,2.68,US,1701479444
86,kimbe,-5.5502,150.1429,305.04,60,100,1.45,PG,1701479444
87,igarka,67.4667,86.5833,255.46,93,100,3.77,RU,1701479064
88,hamburg,53.55,10.0,272.2,93,75,3.09,DE,1701478961
89,papatowai,-46.5619,169.4708,290.58,58,100,3.05,NZ,1701479016
90,kodiak,57.79,-152.4072,275.76,95,100,3.79,US,1701478864
91,invercargill,-46.4,168.35,287.2,71,100,2.37,NZ,1701478971
92,port blair,11.6667,92.75,300.17,89,75,2.06,IN,1701479071
93,fale old settlement,-9.3852,-171.2468,301.52,78,71,3.27,TK,1701479054
94,atafu village,-8.5421,-172.5159,301.8,78,100,3.97,TK,1701479038
95,ushuaia,-54.8,-68.3,277.96,81,40,3.09,AR,1701478981
96,port alfred,-33.5906,26.891,291.03,90,100,0.89,ZA,1701479025
97,baiti,13.745,-14.7482,300.14,16,16,3.9,SN,1701479447
98,zhaotong,27.3167,103.7167,277.05,96,100,1.89,CN,1701479305
99,frontera,26.9333,-101.45,291.42,67,100,1.4,MX,1701479447
100,olonkinbyen,70.9221,-8.7187,271.26,72,85,4.06,SJ,1701479002
101,namie,37.4833,141.0,281.32,55,6,2.86,JP,1701479448
102,entraigues-sur-la-sorgue,44.0,4.9167,279.33,83,0,8.75,FR,1701479449
103,queenstown,-31.8976,26.8753,287.49,54,56,0.59,ZA,1701479449
104,susuman,62.7833,148.1667,248.3,98,100,1.56,RU,1701479025
105,dupnitsa,42.2667,23.1167,285.31,74,100,4.41,BG,1701479449
106,saipan,15.1355,145.701,297.54,100,100,4.12,MP,1701478998
107,igrim,63.1906,64.4162,253.31,99,97,1.71,RU,1701479450
108,solleftea,63.1667,17.2667,261.07,98,100,1.79,SE,1701479451
